	I213_B_31	I213_B_32	I213_B_33	I213_B_41	I213_B_42	I213_B_43	I213_B_51	I213_B_52	I213_B_53	I213_C_31	I213_C_32	I213_C_33	I213_C_41	I213_C_42	I213_C_43	I213_C_51	I213_C_52	I213_C_53
STN4L_02120	145	113	72	140	86	109	125	67	115	161	123	147	118	137	140	121	109	61
STN4L_02121	171	145	191	194	131	195	252	210	225	250	168	230	221	220	208	208	168	151
STN4L_02122	3913	3129	2899	2735	2331	2475	2226	1553	2331	4045	2869	3489	2161	2629	2316	1904	1811	1999
STN4L_02123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_02124	687	531	672	566	373	434	541	401	506	716	613	768	464	507	469	437	444	464
STN4L_02125	237	164	157	118	79	112	110	116	151	152	146	179	98	114	89	74	74	66
STN4L_02126	30	31	23	21	35	22	23	17	20	52	42	42	18	33	14	7	12	17
STN4L_02127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_02128	537	515	600	636	587	523	586	417	433	823	753	867	530	628	557	426	393	435
STN4L_02129	1337	1135	864	994	746	814	680	527	527	1362	971	1174	687	815	668	497	417	453
STN4L_02130	1298	1101	1378	1282	978	856	927	716	867	1672	1502	1467	1058	1229	1003	658	598	607
STN4L_02131	98	102	133	109	86	73	61	62	68	137	111	135	120	105	57	52	57	49
STN4L_02132	311	294	319	408	298	239	161	141	142	478	315	402	363	316	248	128	134	103
STN4L_02133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STN4L_02134	33	30	30	53	57	36	28	17	15	39	37	48	28	31	22	10	15	19
STN4L_02135	1959	1399	1466	2192	1700	1624	1764	1198	1649	1984	1641	1859	1576	1727	1506	1415	1244	1386
STN4L_02136	0	0	0	0	0	0	0	4	0	1	1	1	1	0	0	0	0	0
STN4L_02137	915	683	722	1029	748	702	907	651	822	812	728	781	643	746	580	611	533	720
STN4L_02138	1184	958	1105	1323	1058	941	1248	1095	1229	1230	1105	1139	1247	1158	1033	1128	946	1165
STN4L_02139	51913	41458	36850	58689	45704	42951	70519	53983	73586	47819	32928	40375	46284	50502	42641	68283	57021	56019
STN4L_02140	17478	15476	11556	10493	9153	7717	4864	4784	4649	19692	14056	16939	9215	9798	8171	2707	3697	2565
STN4L_02141	5	9	8	8	14	3	9	12	4	12	9	10	18	5	11	10	4	9
STN4L_02142	6912	7268	7345	8463	7095	6669	7879	5851	6970	7829	7094	8421	6461	6535	6447	5680	5058	4941
